idna_subject,checker_type,destination,tested_at
ads.sreader.app,AVAILABILITY,domains.list,2024-06-25 05:41:37.900137+00:00
asllsa.interfoxprog.click,AVAILABILITY,domains.list,2024-06-25 05:42:17.426596+00:00
dd.70yst.com,AVAILABILITY,domains.list,2024-06-25 05:43:00.232183+00:00
adserver.randomobject.cn,AVAILABILITY,domains.list,2024-06-25 05:43:01.171975+00:00
uedata.amazon.com,AVAILABILITY,domains.list,2024-06-25 05:43:43.569083+00:00
appsflyer-web-1810875176.eu-west-1.elb.amazonaws.com,AVAILABILITY,domains.list,2024-06-25 05:44:18.240984+00:00
appsflyer-web-2-1926050047.eu-west-1.elb.amazonaws.com,AVAILABILITY,domains.list,2024-06-25 05:44:18.430952+00:00
appsflyer-web-3-1052820924.eu-west-1.elb.amazonaws.com,AVAILABILITY,domains.list,2024-06-25 05:44:18.659510+00:00
appsflyer-web-4-962407740.eu-west-1.elb.amazonaws.com,AVAILABILITY,domains.list,2024-06-25 05:44:18.872381+00:00
log-c-907025318.us-east-1.elb.amazonaws.com,AVAILABILITY,domains.list,2024-06-25 05:44:19.312404+00:00
ads.brazzers.com,AVAILABILITY,domains.list,2024-06-25 05:47:02.515999+00:00
ads.heias.com,AVAILABILITY,domains.list,2024-06-25 05:48:20.106466+00:00
adserver.huimaiyouxuan.com,AVAILABILITY,domains.list,2024-06-25 05:48:23.280493+00:00
adsmediaturf.indiatimes.com,AVAILABILITY,domains.list,2024-06-25 05:48:31.674579+00:00
netspiderads3.indiatimes.com,AVAILABILITY,domains.list,2024-06-25 05:48:33.488303+00:00
topsites.services.mozilla.com,AVAILABILITY,domains.list,2024-06-25 05:50:08.036204+00:00
adcreative.naver.com,AVAILABILITY,domains.list,2024-06-25 05:50:10.095106+00:00
creatives.pichunter.com,AVAILABILITY,domains.list,2024-06-25 05:50:39.617134+00:00
myjj.pyzkk.com,AVAILABILITY,domains.list,2024-06-25 05:50:45.407019+00:00
adc.qq.com,AVAILABILITY,domains.list,2024-06-25 05:51:11.792158+00:00
e.qxfly.com,AVAILABILITY,domains.list,2024-06-25 05:54:32.881461+00:00
b.rmgserving.com,AVAILABILITY,domains.list,2024-06-25 05:54:36.371619+00:00
abtauthprd.samsungcloudsolution.com,AVAILABILITY,domains.list,2024-06-25 05:54:37.338040+00:00
musicid.samsungcloudsolution.com,AVAILABILITY,domains.list,2024-06-25 05:54:40.119917+00:00
noticefile.samsungcloudsolution.com,AVAILABILITY,domains.list,2024-06-25 05:54:40.456433+00:00
ad.custom-email-domain.stripe.com,AVAILABILITY,domains.list,2024-06-25 05:55:03.696315+00:00
ad.dkim.custom-email-domain.stripe.com,AVAILABILITY,domains.list,2024-06-25 05:55:03.948420+00:00
ad-images.suntimes.com,AVAILABILITY,domains.list,2024-06-25 05:56:04.959833+00:00
static.tits-guru.com,AVAILABILITY,domains.list,2024-06-25 05:56:09.242051+00:00
api.vidy.com,AVAILABILITY,domains.list,2024-06-25 05:56:49.600688+00:00
static.vidy.com,AVAILABILITY,domains.list,2024-06-25 05:56:49.829928+00:00
search.stream.cr,AVAILABILITY,domains.list,2024-06-25 05:57:55.672435+00:00
micro-soft-failed-error.pages.dev,AVAILABILITY,domains.list,2024-06-25 05:58:28.321281+00:00
micro-soft-virus-alert-warning.pages.dev,AVAILABILITY,domains.list,2024-06-25 05:58:28.561340+00:00
win-defender-sec-64csvxxvxxvxx0x665.pages.dev,AVAILABILITY,domains.list,2024-06-25 05:58:31.522724+00:00
ads.yemonisoni.com,AVAILABILITY,domains.list,2024-06-25 05:58:42.819960+00:00
adv.mediaharbor.co.kr,AVAILABILITY,domains.list,2024-06-25 05:59:20.650869+00:00
tags2.adshell.net,AVAILABILITY,domains.list,2024-06-25 05:59:37.043778+00:00
cmp.evolok.net,AVAILABILITY,domains.list,2024-06-25 06:01:15.275963+00:00
cds.g8j8b9g6.hwcdn.net,AVAILABILITY,domains.list,2024-06-25 06:01:27.452498+00:00
c4g9y5x3.ssl.hwcdn.net,AVAILABILITY,domains.list,2024-06-25 06:01:32.688280+00:00
phim.vkools.net,AVAILABILITY,domains.list,2024-06-25 06:01:58.796087+00:00
redirector.desbloqueador.org,AVAILABILITY,domains.list,2024-06-25 06:02:06.862546+00:00
my.top100.photo,AVAILABILITY,domains.list,2024-06-25 06:02:15.728049+00:00
adserver.toosaka.top,AVAILABILITY,domains.list,2024-06-25 06:03:10.373238+00:00
18.0.216.172.69,AVAILABILITY,rpz-ip,2024-06-25 06:03:27.245717+00:00
32.118.188.232.35,AVAILABILITY,rpz-ip,2024-06-25 06:03:27.421954+00:00
32.123.60.20.64,AVAILABILITY,rpz-ip,2024-06-25 06:03:27.588421+00:00
32.136.187.89.51,AVAILABILITY,rpz-ip,2024-06-25 06:03:27.701694+00:00
32.137.187.89.51,AVAILABILITY,rpz-ip,2024-06-25 06:03:27.766243+00:00
32.138.187.89.51,AVAILABILITY,rpz-ip,2024-06-25 06:03:27.934865+00:00
32.139.187.89.51,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.047142+00:00
32.141.187.89.51,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.114427+00:00
32.140.187.89.51,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.117776+00:00
32.143.187.89.51,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.195298+00:00
32.142.187.89.51,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.285748+00:00
32.148.10.206.167,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.357941+00:00
32.178.225.102.199,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.456238+00:00
32.183.70.163.213,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.519450+00:00
32.218.227.224.35,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.586345+00:00
32.217.8.222.209,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.623854+00:00
32.221.99.187.194,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.692072+00:00
32.220.179.230.34,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.759035+00:00
32.222.99.187.194,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.802601+00:00
32.223.99.187.194,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.843883+00:00
32.224.99.187.194,AVAILABILITY,rpz-ip,2024-06-25 06:03:28.913932+00:00
32.4.61.225.63,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.002391+00:00
32.24.102.230.87,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.005731+00:00
32.45.1.138.188,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.084053+00:00
32.51.77.227.100,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.166921+00:00
32.51.77.227.101,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.244919+00:00
32.51.77.227.102,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.252465+00:00
32.51.77.227.103,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.414515+00:00
32.51.77.227.97,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.482444+00:00
32.51.77.227.96,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.519312+00:00
32.51.77.227.98,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.545346+00:00
32.51.77.227.99,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.599011+00:00
32.78.181.93.204,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.624936+00:00
32.93.237.154.104,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.733710+00:00
32.90.89.184.35,AVAILABILITY,rpz-ip,2024-06-25 06:03:29.769472+00:00
5jdhbfjdfg4.monster,AVAILABILITY,wildcard.list,2024-06-25 06:03:56.394490+00:00
8sbdjfsdf88.monster,AVAILABILITY,wildcard.list,2024-06-25 06:03:56.900625+00:00
acvx.host,AVAILABILITY,wildcard.list,2024-06-25 06:04:05.910743+00:00
afojuvaf.es,AVAILABILITY,wildcard.list,2024-06-25 06:04:46.992273+00:00
affilinet-inside.de,AVAILABILITY,wildcard.list,2024-06-25 06:04:55.856448+00:00
anatums.xyz,AVAILABILITY,wildcard.list,2024-06-25 06:05:05.881394+00:00
berses.com,AVAILABILITY,wildcard.list,2024-06-25 06:05:36.795786+00:00
beetlestrooped.life,AVAILABILITY,wildcard.list,2024-06-25 06:05:36.948797+00:00
birter.com,AVAILABILITY,wildcard.list,2024-06-25 06:05:46.040463+00:00
bowtellwhincow.cfd,AVAILABILITY,wildcard.list,2024-06-25 06:06:00.077014+00:00
broredir1s.site,AVAILABILITY,wildcard.list,2024-06-25 06:06:02.677967+00:00
c39ed4de0b.com,AVAILABILITY,wildcard.list,2024-06-25 06:06:11.951897+00:00
carredwithblao.xyz,AVAILABILITY,wildcard.list,2024-06-25 06:06:22.409015+00:00
cha2spoi3rasne.com,AVAILABILITY,wildcard.list,2024-06-25 06:06:26.994973+00:00
chengoassa.com,AVAILABILITY,wildcard.list,2024-06-25 06:06:27.903696+00:00
