subject,idna_subject,expiration_date,epoch,registrar
clubedohardware.com.br,clubedohardware.com.br,22-sep-2031,1947801600.0,
gentside.com.br,gentside.com.br,15-jun-2025,1749945600.0,
hipercontas.com.br,hipercontas.com.br,27-mar-2034,2027030400.0,
admaster.com.cn,admaster.com.cn,06-jan-2025,1736121600.0,阿里云计算有限公司（万网）
ads2-adnow.com,ads2-adnow.com,15-may-2025,1747267200.0,DropCatch.com 1256 LLC
batteusp2hilenor.com,batteusp2hilenor.com,05-jun-2025,1749081600.0,"GoDaddy.com, LLC"
br3azil334nutsz.com,br3azil334nutsz.com,16-aug-2024,1723766400.0,Danesco Trading Ltd.
daxab.com,daxab.com,20-dec-2024,1734652800.0,EuroDNS S.A.
dzienkudrow.com,dzienkudrow.com,01-sep-2024,1725148800.0,Danesco Trading Ltd.
enodiarahnthedon.com,enodiarahnthedon.com,06-dec-2024,1733443200.0,Danesco Trading Ltd.
noughttrustthreshold.com,noughttrustthreshold.com,16-dec-2024,1734307200.0,"eNom, LLC"
xbcnvj2mdk1dn1.com,xbcnvj2mdk1dn1.com,05-nov-2024,1730764800.0,Danesco Trading Ltd.
xxxijmp.com,xxxijmp.com,22-jun-2025,1750550400.0,"NameCheap, Inc."
adplus.co.id,adplus.co.id,25-apr-2025,1745539200.0,PT Digital Registra Indonesia
roxedltd.co.id,roxedltd.co.id,07-jan-2025,1736208000.0,PT Digital Registra Indonesia
hub.com.pl,hub.com.pl,26-aug-2024,1724630400.0,
gatorleads.co.uk,gatorleads.co.uk,19-nov-2025,1763510400.0,
gentside.co.uk,gentside.co.uk,22-aug-2025,1755820800.0,
07c225f3.online,07c225f3.online,21-apr-2025,1745193600.0,"Go Daddy, LLC"
1betandgonow.com,1betandgonow.com,01-feb-2025,1738368000.0,Tucows Domains Inc.
1push.io,1push.io,29-oct-2024,1730160000.0,Gandi SAS
2449march2024.com,2449march2024.com,02-mar-2025,1740873600.0,Danesco Trading Ltd.
2o7.net,2o7.net,29-sep-2024,1727568000.0,Nom-iq Ltd. dba COM LAUDE
302br.net,302br.net,22-jun-2026,1782086400.0,MarkMonitor Inc.
3g-asp.com,3g-asp.com,12-jan-2025,1736640000.0,"GMO Internet Group, Inc. d/b/a Onamae.com"
a-mo.net,a-mo.net,08-sep-2025,1757289600.0,"GoDaddy.com, LLC"
a-mx.com,a-mx.com,01-jul-2025,1751328000.0,"Amazon Registrar, Inc."
a-ads.com,a-ads.com,07-jul-2025,1751846400.0,"Name.com, Inc."
a1hosting.online,a1hosting.online,11-oct-2024,1728604800.0,Namecheap
aamapi.com,aamapi.com,16-aug-2033,2007763200.0,"GoDaddy.com, LLC"
abc.com,abc.com,23-may-2025,1747958400.0,"CSC Corporate Domains, Inc."
ableandworld.info,ableandworld.info,19-jul-2024,1721347200.0,Dynadot Inc
acmeaom.com,acmeaom.com,21-jan-2025,1737417600.0,"CloudFlare, Inc."
acq-pjms.fr,acq-pjms.fr,03-feb-2025,1738540800.0,CSC CORPORATE DOMAINS INC.
a4dtracker.com,a4dtracker.com,05-nov-2024,1730764800.0,Cloud Yuqu LLC
actu-companeo.com,actu-companeo.com,10-jan-2025,1736467200.0,NAMESHIELD SAS
actu-pm.fr,actu-pm.fr,11-mar-2025,1741651200.0,GANDI
actus-fdj.fr,actus-fdj.fr,28-feb-2025,1740700800.0,GANDI
activatems.com,activatems.com,29-apr-2028,1840579200.0,"GoDaddy.com, LLC"
adapty.io,adapty.io,25-jun-2025,1750809600.0,"Cloudflare, Inc"
adblock-guru.com,adblock-guru.com,16-jan-2025,1736985600.0,"HOSTINGER operations, UAB"
adblock-zen-download.com,adblock-zen-download.com,08-nov-2024,1731024000.0,Belmontdomains.com LLC
adbrn.com,adbrn.com,21-aug-2025,1755734400.0,MarkMonitor Inc.
adbrain.com,adbrain.com,25-sep-2025,1758758400.0,MarkMonitor Inc.
adcash.com,adcash.com,20-nov-2024,1732060800.0,"GoDaddy.com, LLC"
adclicker.com,adclicker.com,09-dec-2024,1733702400.0,"NameCheap, Inc."
adclicker.io,adclicker.io,13-apr-2025,1744502400.0,"NameCheap, Inc."
adcolony.com,adcolony.com,07-aug-2024,1722988800.0,"GoDaddy.com, LLC"
addealsnetwork.com,addealsnetwork.com,30-apr-2025,1745971200.0,Gandi SAS
adecn.com,adecn.com,29-nov-2024,1732838400.0,Nom-iq Ltd. dba COM LAUDE
adflight.com,adflight.com,01-mar-2025,1740787200.0,"DNC Holdings, Inc."
adform.com,adform.com,16-jul-2032,1973548800.0,"DNC Holdings, Inc."
adform.dk,adform.dk,31-dec-2028,1861833600.0,
adinplay.com,adinplay.com,04-dec-2024,1733270400.0,"Amazon Registrar, Inc."
adition.com,adition.com,30-may-2025,1748563200.0,"PSI-USA, Inc. dba Domain Robot"
admax.network,admax.network,08-aug-2024,1723075200.0,"NameCheap, Inc."
adnium.com,adnium.com,17-jun-2026,1781654400.0,"NameCheap, Inc."
adnxs-simple.com,adnxs-simple.com,03-mar-2025,1740960000.0,MarkMonitor Inc.
adnxs.com,adnxs.com,27-may-2026,1779840000.0,MarkMonitor Inc.
adoperatorcore.com,adoperatorcore.com,21-aug-2024,1724198400.0,"NameCheap, Inc."
adbureau.net,adbureau.net,08-jun-2025,1749340800.0,"CSC Corporate Domains, Inc."
adrglife.com,adrglife.com,30-may-2025,1748563200.0,"NameSilo, LLC"
adrgyouguide.com,adrgyouguide.com,30-may-2025,1748563200.0,"NameSilo, LLC"
adrise.tv,adrise.tv,21-jun-2025,1750464000.0,"GoDaddy Corporate Domains, LLC"
ads-twitter.com,ads-twitter.com,26-may-2026,1779753600.0,MarkMonitor Inc.
ads4trk.com,ads4trk.com,04-oct-2024,1728000000.0,"Amazon Registrar, Inc."
adsafeprotected.com,adsafeprotected.com,01-apr-2025,1743465600.0,MarkMonitor Inc.
adsblocker-ultra.com,adsblocker-ultra.com,21-dec-2024,1734739200.0,"NameCheap, Inc."
adsblockersentinel.info,adsblockersentinel.info,07-dec-2024,1733529600.0,"Cloudflare, Inc"
adsbynimbus.com,adsbynimbus.com,06-sep-2024,1725580800.0,"GoDaddy.com, LLC"
adsclk.com,adsclk.com,11-apr-2026,1775865600.0,PDR Ltd. d/b/a PublicDomainRegistry.com
adsco.re,adsco.re,14-feb-2027,1802563200.0,Marcaria.com International Inc.
adscoremarketing.com,adscoremarketing.com,09-jul-2024,1720483200.0,"GoDaddy.com, LLC"
adserver.com,adserver.com,08-jan-2025,1736294400.0,MarkMonitor Inc.
adprotect.net,adprotect.net,07-mar-2026,1772841600.0,"GoDaddy.com, LLC"
adsmanager.net,adsmanager.net,22-dec-2024,1734825600.0,DropCatch.com 939 LLC
adservicemedia.dk,adservicemedia.dk,30-jun-2028,1845936000.0,
adsnet.se,adsnet.se,14-jan-2025,1736812800.0,EgenSajt.se
adsrvr.org,adsrvr.org,29-mar-2026,1774742400.0,MarkMonitor Inc.
adsymptotic.com,adsymptotic.com,09-sep-2024,1725840000.0,Nom-iq Ltd. dba COM LAUDE
adview.com,adview.com,10-sep-2024,1725926400.0,"Alibaba Cloud Computing (Beijing) Co., Ltd."
advmonie.com,advmonie.com,30-may-2025,1748563200.0,"NameSilo, LLC"
adveric.net,adveric.net,16-mar-2025,1742083200.0,PDR Ltd. d/b/a PublicDomainRegistry.com
adx.space,adx.space,03-nov-2024,1730592000.0,"Go Daddy, LLC"
affili.net,affili.net,06-oct-2024,1728172800.0,"Amazon Registrar, Inc."
af-next.com,af-next.com,05-dec-2027,1827964800.0,"GMO Internet Group, Inc. d/b/a Onamae.com"
affilo.io,affilo.io,29-oct-2024,1730160000.0,"NameCheap, Inc."
afm-telethon.fr,afm-telethon.fr,09-aug-2024,1723161600.0,NAMESHIELD
agencereference.com,agencereference.com,08-aug-2024,1723075200.0,OVH sas
agreeable-target.pro,agreeable-target.pro,19-jul-2024,1721347200.0,"NameCheap, Inc."
agxifqyum.xyz,agxifqyum.xyz,20-aug-2024,1724112000.0,URL Solutions Inc.
akeedser.com,akeedser.com,26-apr-2025,1745625600.0,"URL Solutions, Inc."
aktuariat.fr,aktuariat.fr,21-feb-2025,1740096000.0,OVH
agritech.com.ro,agritech.com.ro,16-feb-2025,1739664000.0,Hosterion SRL
alink1.com,alink1.com,04-may-2025,1746316800.0,Squarespace Domains II LLC
alenty.com,alenty.com,18-may-2026,1779062400.0,MarkMonitor Inc.
allianz-trade.com,allianz-trade.com,13-oct-2024,1728777600.0,"CSC Corporate Domains, Inc."
almstda.tv,almstda.tv,21-jul-2025,1753056000.0,URL Solutions Inc.
amarveergroup.com,amarveergroup.com,17-apr-2025,1744848000.0,BigRock Solutions Ltd
ameofmuki.info,ameofmuki.info,19-jul-2024,1721347200.0,Dynadot Inc
amesd.online,amesd.online,26-may-2025,1748217600.0,Communigal Communications Ltd
anceenablesas.info,anceenablesas.info,19-jul-2024,1721347200.0,Dynadot Inc
androidgameshacks.com,androidgameshacks.com,09-jul-2024,1720483200.0,"GoDaddy.com, LLC"
angelikabutik.com,angelikabutik.com,28-apr-2025,1745798400.0,"NameCheap, Inc."
aniyae.net,aniyae.net,23-jun-2025,1750636800.0,"CloudFlare, Inc."
anlytics.co,anlytics.co,07-may-2025,1746576000.0,"NameCheap, Inc."
amazon-adsystem.com,amazon-adsystem.com,16-sep-2024,1726444800.0,MarkMonitor Inc.
antipaucity.com,antipaucity.com,22-feb-2029,1866412800.0,"pair Networks, Inc. d/b/a pair Domains"
aoalmfwinbsstec23.com,aoalmfwinbsstec23.com,18-oct-2024,1729209600.0,"NameCheap, Inc."
apidata.info,apidata.info,09-feb-2025,1739059200.0,"NameCheap, Inc."
apmebf.com,apmebf.com,06-apr-2025,1743897600.0,MarkMonitor Inc.
appgrowth.com,appgrowth.com,26-apr-2026,1777161600.0,"GoDaddy.com, LLC"
applanga.com,applanga.com,13-dec-2024,1734048000.0,Mesh Digital Limited
appnexus.com,appnexus.com,11-sep-2024,1726012800.0,MarkMonitor Inc.
appsflyersdk.com,appsflyersdk.com,05-aug-2029,1880582400.0,"Amazon Registrar, Inc."
appvirality.com,appvirality.com,22-nov-2024,1732233600.0,"Amazon Registrar, Inc."
aprima.com,aprima.com,29-aug-2026,1787961600.0,"GoDaddy.com, LLC"
